event_n,event_clusters,n_hits,energy_value
185,26,515,75.257
185,47,2,0.013
186,0,17953,145.474
186,17,527,66.747
187,0,17994,146.16
187,17,1,0.012
187,47,549,73.724
188,0,17967,146.233
188,45,539,71.48
188,81,1,0.023
189,0,17998,147.194
189,31,516,72.999
189,161,2,0.149
190,0,17959,146.8
190,21,514,74.176
191,0,18036,144.97
191,30,515,71.955
191,166,6,0.085
192,0,17924,143.996
192,102,562,75.896
192,134,3,0.098
193,0,17788,142.019
193,145,546,71.901
194,0,17885,144.886
194,5,3,0.033
194,13,5,0.076
194,17,570,68.004
195,0,18261,146.837
195,10,5,0.107
195,16,2,0.036
195,38,2,0.041
195,42,551,73.749
196,0,17952,145.953
196,63,597,73.001
197,0,17968,144.253
197,26,511,72.116
198,0,18049,145.299
198,212,1,0.027
198,215,1,0.011
198,257,3,0.072
198,295,541,72.679
199,0,18056,145.321
199,67,524,74.055
200,0,18088,145.283
200,43,1,0.027
200,154,516,71.128
201,0,18166,146.792
201,12,4,0.033
201,142,567,74.805
202,0,18105,144.618
202,38,528,77.069
203,0,17924,146.935
203,80,481,73.554
204,0,17891,145.569
204,20,622,74.711
205,0,17917,144.433
205,19,623,73.099
205,35,2,0.044
206,0,17995,147.494
206,10,564,70.349
207,0,17811,143.147
207,32,5,0.031
207,153,512,73.149
207,167,4,0.027
208,0,17982,144.99
208,10,4,0.036
208,55,3,0.109
208,195,499,74.423
209,0,18024,145.702
209,32,534,72.592
209,115,2,0.02
210,0,17921,143.228
210,139,567,73.326
211,0,18175,146.588
211,21,1,0.011
211,66,1,0.013
211,166,548,73.203
211,394,5,0.033
212,0,17750,143.372
212,71,548,75.626
213,0,18125,146.62
213,78,510,72.91
214,0,18076,147.069
214,22,566,70.532
215,0,17868,144.324
215,27,534,78.493
216,0,17973,145.259
216,43,538,70.868
217,0,18109,145.703
217,21,1,0.014
217,33,525,71.728
218,0,17999,146.28
218,28,3,0.084
218,29,554,70.274
219,0,17956,144.308
219,43,531,71.748
220,0,17723,143.242
220,47,533,75.096
220,574,2,0.119
221,0,18003,145.928
221,25,623,72.932
221,50,1,0.035
222,0,17797,142.908
222,30,529,75.618
223,0,18029,145.57
223,34,511,71.468
224,0,18290,146.573
224,81,534,75.132
225,0,18192,146.504
225,13,1,0.119
225,24,522,73.094
226,0,17951,146.034
226,132,490,71.585
227,0,18132,147.865
227,43,529,73.315
228,0,18090,146.065
228,20,1,0.304
228,36,602,72.406
228,142,2,0.011
229,0,17986,146.312
229,31,527,72.619
229,54,2,0.015
230,0,18060,146.955
230,34,5,0.031
230,52,532,75.277
231,0,17836,143.377
231,34,1,0.024
231,264,534,70.312
232,0,17966,145.963
232,18,3,0.04
232,324,2,0.026
232,350,577,76.208
232,360,1,0.007
233,0,18158,146.164
233,96,2,0.017
233,97,5,0.162
233,116,519,74.331
234,0,17729,143.033
234,147,495,69.858
235,0,18152,147.13
235,58,1,0.019
235,73,567,71.86
236,0,17925,144.945
236,130,491,77.331
237,0,17914,143.428
237,44,496,74.154
238,0,18056,145.782
238,30,610,74.229
238,37,1,0.026
238,628,8,0.052
239,0,18022,145.25
239,280,551,77.436
240,0,17852,145.341
240,290,520,75.137
241,0,18286,148.17
241,6,5,0.043
241,12,1,0.006
241,43,1,0.006
241,90,516,69.819
242,0,17794,144.083
242,5,2,0.071
242,44,528,71.431
242,136,2,0.013
243,0,17925,144.54
243,155,546,73.911
244,0,17952,144.454
244,145,558,74.178
245,0,18243,146.996
245,33,478,70.984
246,0,18017,147.331
246,10,1,0.036
246,46,522,72.055
246,242,7,0.115
247,0,17920,144.543
247,7,600,70.593
247,20,1,2.847
248,0,18048,144.533
248,7,2,0.068
248,70,518,75.039
249,0,17788,144.297
249,178,607,73.235
250,0,17906,146.126
250,33,541,76.54
251,0,17807,145.285
251,27,538,72.23
252,0,17738,143.839
252,391,575,75.606
253,0,17834,144.809
253,220,523,71.033
254,0,18223,148.924
254,24,556,71.446
255,0,18104,146.462
255,37,547,72.994
256,0,17919,144.387
256,221,525,72.692
257,0,18036,145.902
257,73,2,0.018
257,255,524,70.694
258,0,18054,145.881
258,30,628,76.476
258,39,2,0.088
259,0,17882,143.694
259,22,582,74.545
259,47,2,0.154
259,54,9,0.512
259,356,1,0.015
259,481,1,0.051
260,0,18004,144.801
260,25,2,0.098
260,39,488,75.032
261,0,17917,146.032
261,51,532,76.051
262,0,17898,145.418
262,80,537,72.981
263,0,17797,142.229
263,213,565,75.379
264,0,18064,145.159
264,110,549,74.184
265,0,17918,145.2
265,8,2,0.018
265,127,552,73.616
265,538,6,0.04
266,0,17946,145.382
266,12,3,0.053
266,47,551,75.481
267,0,18070,148.12
267,38,577,79.087
268,0,18106,146.536
268,53,497,72.024
268,89,2,0.019
269,0,18128,146.955
269,32,522,78.592
270,0,18130,146.958
270,30,534,71.102
270,43,1,0.028
270,94,1,0.019
271,0,17997,145.944
271,26,631,71.828
272,0,18229,147.537
272,32,518,73.243
272,35,1,0.022
273,0,18073,146.888
273,154,499,74.602
274,0,18097,147.059
274,29,2,0.013
274,328,564,73.018
275,0,18059,145.788
275,70,508,74.612
276,0,18205,146.772
276,37,496,72.746
276,71,2,0.077
277,0,17974,146.042
277,34,514,73.58
278,0,17974,145.424
278,437,528,74.115
279,0,17863,145.89
279,35,497,71.143
280,0,18053,145.787
280,156,522,71.496
281,0,17954,145.741
281,24,1,0.072
281,221,505,71.684
282,0,17954,145.332
282,36,491,73.4
283,0,17854,144.709
283,22,538,73.867
283,29,1,0.039
284,0,17917,145.074
284,29,1,0.123
284,33,526,73.995
285,0,18059,146.419
285,25,533,75.216
286,0,17921,145.024
286,30,1,0.044
286,35,558,73.214
287,0,18147,147.563
287,41,506,69.976
287,61,1,0.015
288,0,17987,145.248
288,100,4,0.094
288,221,510,75.845
289,0,17975,145.118
289,59,510,72.763
290,0,18044,146.506
290,37,1,0.011
290,101,642,72.308
291,0,17949,144.962
291,12,3,0.044
291,19,539,75.194
292,0,17997,146.728
292,9,3,0.028
292,24,1,0.027
292,49,503,72.77
293,0,18074,144.988
293,79,549,70.877
294,0,17961,144.658
294,9,2,0.03
294,45,585,75.742
295,0,17850,146.986
295,15,619,73.702
296,0,18233,147.48
296,14,1,0.016
296,425,561,77.543
297,0,17951,146.753
297,87,470,76.62
298,0,18178,147.734
298,74,572,76.397
299,0,17898,144.366
299,31,543,71.726
300,0,18150,146.266
300,195,613,74.53
301,0,17930,144.584
301,28,665,73.513
301,54,2,0.047
301,158,3,0.052
302,0,17971,146.521
302,46,526,73.67
302,96,2,0.023
303,0,18049,146.951
303,35,540,72.974
304,0,17901,144.615
304,9,606,72.064
304,75,2,0.062
305,0,17908,145.471
305,31,1,0.026
305,36,506,56.121
305,80,3,15.837
306,0,17855,144.966
306,20,1,0.025
306,107,572,72.18
307,0,17984,146.386
307,5,3,0.185
307,13,1,0.006
307,99,1,0.008
307,215,554,73.539
308,0,18024,145.307
308,17,572,68.754
309,0,17714,141.721
309,31,498,69.897
310,0,18034,144.95
310,45,515,73.685
311,0,17946,147.024
311,54,545,73.498
312,0,18025,146.844
312,28,526,72.326
312,143,2,0.065
313,0,17969,146.8
313,27,2,0.023
313,87,533,72.487
314,0,18046,147.415
314,18,554,72.713
315,0,18003,145.154
315,21,1,0.008
315,32,3,0.069
315,67,521,74.036
316,0,18074,146.433
316,26,605,71.977
317,0,18146,146.91
317,20,544,75.661
317,57,2,0.071
318,0,18090,145.426
318,91,508,72.143
318,111,1,0.006
319,0,17976,144.813
319,24,545,76.068
319,47,5,0.155
320,0,18057,146.656
320,35,531,75.66
321,0,18101,147.437
321,39,1,0.033
321,56,3,0.082
321,58,3,0.019
321,115,518,70.433
322,0,17814,144.205
322,17,610,73.834
323,0,17937,145.782
323,34,655,75.674
323,586,2,0.031
324,0,18142,146.039
324,22,627,76.157
325,0,18079,146.745
325,16,533,74.736
326,0,17994,145.398
326,153,507,70.738
327,0,18148,147.013
327,102,565,78.098
328,0,18009,144.457
328,29,494,74.2
329,0,18038,146.325
329,10,2,0.013
329,130,528,73.958
330,0,18012,146.051
330,94,2,0.08
330,154,483,72.069
331,0,17849,144.543
331,62,525,77.778
331,563,7,0.072
332,0,17841,144.35
332,92,562,78.271
333,0,18166,145.913
333,51,492,71.594
334,0,18098,145.301
334,32,2,0.03
334,37,553,74.213
335,0,18016,146.747
335,24,517,72.066
336,0,18078,146.834
336,15,6,0.248
336,30,528,73.285
337,0,17910,145.754
337,21,677,71.655
337,173,1,0.011
337,279,1,0.09
338,0,17948,142.583
338,198,587,75.154
339,0,18115,147.237
339,29,534,75.458
340,0,18070,146.2
340,81,526,74.219
340,114,1,0.006
341,0,18174,146.931
341,24,512,73.347
342,0,17722,143.347
342,127,512,74.484
342,301,1,0.024
342,320,4,0.165
343,0,17936,144.401
343,89,584,74.637
344,0,17837,143.186
344,18,1,0.03
344,30,515,70.412
345,0,18173,147.187
345,194,559,71.756
345,219,1,0.006
345,262,3,0.092
346,0,18187,148.169
346,87,623,75.864
347,0,17902,145.175
347,22,529,72.974
348,0,17985,145.72
348,43,503,74.219
349,0,18121,145.887
349,27,7,0.051
349,108,567,73.516
350,0,17954,145.809
350,4,2,0.016
350,69,500,73.104
351,0,18171,148.803
351,96,684,74.949
351,102,1,0.019
351,591,4,0.117
352,0,17974,145.998
352,14,631,72.668
352,113,1,0.012
353,0,17993,146.292
353,92,512,72.496
354,0,17949,145.138
354,191,544,75.327
355,0,17828,144.83
355,56,491,75.627
356,0,18176,146.518
356,176,587,74.118
357,0,17795,142.378
357,48,511,73.821
358,0,17856,144.519
358,121,689,76.054
359,0,17977,144.838
359,111,600,72.569
360,0,17612,143.4
360,213,540,70.72
361,0,17681,144.249
361,22,572,77.316
361,59,1,0.04
362,0,17900,144.206
362,4,1,0.006
362,8,6,0.048
362,113,546,74.272
363,0,17950,145.672
363,10,546,71.526
363,384,1,0.013
364,0,17897,146.133
364,44,2,0.035
364,117,614,77.699
364,602,1,0.012
365,0,17898,145.478
365,50,501,74.307
365,65,1,0.006
366,0,18097,145.465
366,201,556,73.756
367,0,18089,147.473
367,48,536,74.114
368,0,17796,144.02
368,77,552,75.774
369,0,18032,145.85
369,17,5,0.068
369,76,522,72.814
370,0,18040,146.225
370,12,1,0.017
370,62,553,78.492
371,0,17888,144.164
371,97,508,72.177
372,0,18019,146.159
372,7,4,0.096
372,47,532,72.439
373,0,18006,145.341
373,32,547,76.163
374,0,17907,144.773
374,95,487,75.268
375,0,17806,143.289
375,44,626,75.318
376,0,18128,146.107
376,27,528,72.21
376,73,2,0.058
377,0,18062,146.688
377,27,550,77.057
377,54,2,0.128
378,0,18143,147.824
378,3,1,0.01
378,6,6,0.057
378,12,1,0.009
378,18,6,0.036
378,46,533,77.973
379,0,17944,145.244
379,22,2,0.07
379,29,2,0.054
379,70,515,72.942
380,0,17776,142.122
380,30,519,73.27
380,436,1,0.006
381,0,17753,142.169
381,40,522,71.739
382,0,18038,145.828
382,1,2,0.019
382,94,605,71.208
383,0,17930,145.333
383,322,549,79.701
384,0,18045,146.314
384,33,535,72.989
385,0,18059,148.186
385,59,550,72.629
385,80,1,0.022
385,564,5,0.043
386,0,17959,146.035
386,29,513,70.3
387,0,17705,143.007
387,37,505,73.515
388,0,18160,147.421
388,18,539,70.933
388,37,1,0.04
389,0,17922,145.428
389,121,516,73.058
390,0,18040,146.447
390,44,518,74.956
391,0,17720,144.657
391,43,547,77.505
392,0,18017,145.796
392,41,550,74.37
392,71,2,0.056
393,0,17855,144.214
393,73,549,76.384
394,0,17961,145.244
394,156,2,0.048
394,252,569,75.127
395,0,17841,144.617
395,129,677,74.681
395,132,2,0.019
396,0,18052,146.447
396,6,540,69.679
397,0,17905,145.397
397,96,482,76.581
398,0,18108,146.448
398,42,525,70.369
399,0,18073,146.145
399,25,580,74.458
399,103,1,0.018
400,0,18023,145.094
400,23,609,76.082
400,98,5,0.134
401,0,18000,145.114
401,64,536,76.099
402,0,17976,146.742
402,68,501,74.091
403,0,18058,144.377
403,340,553,72.667
404,0,18003,143.84
404,8,1,0.006
404,23,630,76.592
405,0,18120,147.244
405,122,517,74.895
406,0,18092,146.949
406,112,477,72.175
407,0,17900,144.116
407,47,508,72.224
408,0,17928,146.698
408,16,1,0.023
408,126,1,0.02
408,192,556,72.952
409,0,18014,144.311
409,119,1,0.029
409,174,533,76.233
410,0,18025,146.155
410,78,545,69.527
411,0,17852,146.137
411,7,2,0.013
411,32,504,74.799
411,435,4,0.081
412,0,17959,143.747
412,46,550,72.978
413,0,18285,148.648
413,19,2,0.013
413,28,543,74.057
414,0,18067,146.847
414,18,7,0.265
414,22,640,72.971
415,0,17837,143.751
415,22,1,0.02
415,83,593,74.158
416,0,18004,147.451
416,141,545,72.545
417,0,17952,145.846
417,306,1,0.02
417,436,544,73.247
418,0,17947,144.169
418,12,2,0.02
418,74,2,0.052
418,117,556,76.174
419,0,17858,143.25
419,145,4,0.103
419,168,638,74.602
420,0,18136,147.385
420,74,2,0.045
420,211,537,73.614
421,0,17811,143.96
421,76,548,72.293
422,0,17933,145.639
422,37,602,74.277
422,55,1,0.042
423,0,17902,144.311
423,21,501,69.166
424,0,18061,145.422
424,42,510,74.569
424,49,2,0.051
424,132,1,0.035
425,0,17783,145.104
425,100,2,0.041
425,101,1,0.043
425,138,2,0.046
425,364,557,74.729
426,0,18219,146.682
426,80,481,76.4
427,0,17828,144.938
427,62,564,70.062
427,192,5,0.031
428,0,18165,147.383
428,37,559,72.617
428,72,1,0.006
429,0,17845,145.037
429,15,521,69.448
430,0,17955,144.972
430,34,3,0.09
430,100,1,0.006
430,178,512,75.055
431,0,17917,145.527
431,1,2,0.129
431,16,617,72.058
431,46,1,0.018
432,0,17979,145.52
432,20,528,70.101
433,0,17778,143.598
433,29,616,70.994
433,100,3,0.09
434,0,17920,144.322
434,28,521,73.154
435,0,18088,146.953
435,159,599,74.676
436,0,17969,144.672
436,10,2,0.039
436,60,514,75.043
436,543,1,0.056
437,0,17972,146.323
437,57,642,71.108
438,0,17868,144.87
438,2,3,0.063
438,35,3,0.13
438,44,586,72.79
439,0,17969,146.273
439,47,509,74.957
439,56,1,0.015
440,0,17911,144.759
440,80,580,71.274
441,0,17978,147.102
441,59,559,75.517
442,0,17870,144.864
442,16,1,0.006
442,28,527,76.872
442,93,1,0.013
443,0,17975,146.041
443,38,563,74.904
443,44,2,0.025
444,0,18099,147.173
444,103,556,71.877
444,215,1,0.013
445,0,18171,146.266
445,60,1,0.015
445,136,576,74.623
446,0,17971,145.281
446,31,553,72.395
447,0,18050,145.735
447,51,490,70.335
448,0,17847,145.657
448,54,560,74.021
449,0,17865,144.208
449,40,512,74.108
450,0,18004,145.065
450,30,642,74.25
451,0,18103,146.619
451,36,610,69.769
451,41,5,0.196
451,635,3,0.018
451,636,3,0.018
452,0,17932,143.837
452,49,573,74.229
453,0,18093,145.873
453,23,594,72.779
454,0,17813,144.71
454,112,494,72.468
455,0,17845,143.672
455,2,2,0.07
455,56,650,75.427
455,195,2,0.057
456,0,18094,145.886
456,338,1,0.007
456,421,513,70.277
457,0,17830,145.593
457,110,614,72.968
458,0,17845,144.647
458,89,623,73.724
459,0,17736,143.157
459,86,542,72.581
460,0,17973,144.849
460,370,2,0.047
460,377,509,75.615
461,0,17860,145.354
461,125,2,0.034
461,133,659,73.866
462,0,18058,145.254
462,16,557,74.719
463,0,17801,143.609
463,25,697,73.114
463,112,4,0.1
464,0,17767,144.002
464,27,2,0.026
464,34,675,73.815
465,0,18057,146.764
465,46,482,74.108
465,104,6,0.036
466,0,18162,147.349
466,90,539,72.561
467,0,17991,145.37
467,108,587,76.906
467,134,1,0.006
468,0,17915,145.583
468,13,630,76.481
469,0,18026,145.324
469,58,3,0.022
469,60,1,0.032
469,65,532,71.983
470,0,18037,148.146
470,48,542,71.586
471,0,18116,147.027
471,18,528,73.426
472,0,18117,146.498
472,17,3,0.022
472,37,3,0.025
472,44,497,70.427
473,0,18000,145.263
