event_n,event_clusters,n_hits,energy_value
299,327,3,0.077
300,0,17663,141.651
300,29,611,100.851
300,36,1,0.012
300,51,2,0.028
300,589,5,0.032
301,0,17940,144.077
301,41,668,99.197
301,50,1,0.025
302,0,18034,147.547
302,111,616,100.451
303,0,17729,141.908
303,50,1,0.006
303,204,642,98.882
304,0,17773,145.417
304,30,620,99.958
305,0,17821,144.382
305,2,2,0.019
305,293,661,95.92
305,502,3,0.101
306,0,17882,144.462
306,90,617,96.281
306,264,1,0.009
307,0,17793,142.132
307,44,621,92.453
308,0,17806,145.26
308,18,1,0.021
308,380,664,95.321
309,0,17776,142.951
309,123,637,97.256
310,0,17930,145.874
310,20,1,0.015
310,28,808,96.805
311,0,17624,142.753
311,26,1,0.016
311,184,640,98.923
311,204,2,0.105
312,0,17704,141.499
312,32,4,0.065
312,80,631,93.632
313,0,17734,143.434
313,5,9,0.371
313,32,817,101.076
313,58,1,0.03
313,182,2,0.018
313,773,2,0.041
314,0,17947,144.889
314,188,795,98.176
314,809,5,0.03
315,0,17673,143.757
315,10,3,0.028
315,94,588,96.353
316,0,17751,142.194
316,35,655,106.003
317,0,17728,143.539
317,43,634,99.65
318,0,17800,143.014
318,39,628,100.457
318,62,2,0.038
318,356,8,0.056
319,0,17918,146.202
319,58,648,100.701
320,0,17668,142.491
320,68,1,0.006
320,75,1,0.042
320,135,575,98.747
321,0,17768,142.046
321,22,1,0.011
321,30,643,95.306
321,88,4,0.07
322,0,17915,143.47
322,45,664,105.064
322,507,1,0.098
323,0,17922,145.894
323,45,612,100.406
324,0,17842,143.559
324,275,647,96.3
325,0,17953,145.096
325,349,641,95.456
326,0,17865,143.902
326,36,3,0.019
326,287,3,14.594
326,373,662,80.485
327,0,17766,143.35
327,46,597,101.971
328,0,17882,142.98
328,15,786,100.326
329,0,17686,142.646
329,45,615,101.219
330,0,17830,143.0
330,170,590,94.967
331,0,17938,144.137
331,6,3,0.027
331,229,628,96.051
332,0,17767,142.665
332,23,1,0.007
332,29,2,0.021
332,190,621,98.439
333,0,17767,143.987
333,163,739,99.108
334,0,17636,142.38
334,21,4,0.037
334,55,621,99.678
335,0,17815,144.218
335,226,651,97.518
336,0,17600,143.33
336,49,648,97.7
336,57,3,0.07
337,0,17849,143.848
337,68,1,0.007
337,116,2,0.011
337,308,635,93.847
338,0,17826,144.877
338,33,649,95.485
338,107,1,0.011
338,136,1,0.009
339,0,17664,142.669
339,33,648,88.99
339,74,1,4.136
340,0,17866,143.999
340,122,1,0.038
340,171,629,99.54
341,0,17935,145.675
341,27,2,0.027
341,156,672,99.71
341,254,4,0.027
342,0,17801,143.832
342,67,2,0.111
342,156,774,97.537
343,0,17577,142.453
343,20,7,4.729
343,21,1,0.006
343,89,1,0.011
343,142,712,96.31
344,0,17983,146.769
344,44,611,98.685
344,114,1,0.008
345,0,17778,143.638
345,432,693,99.208
345,734,2,0.032
346,0,17787,142.652
346,8,9,0.293
346,40,1,0.057
346,220,622,98.886
347,0,17698,142.162
347,533,688,97.816
348,0,17749,144.354
348,40,650,98.224
348,60,1,0.057
349,0,17491,139.889
349,78,703,97.941
350,0,17713,141.866
350,44,2,0.044
350,237,604,100.084
351,0,17711,142.123
351,23,4,0.112
351,43,610,96.425
352,0,17985,144.479
352,85,2,0.015
352,112,3,0.053
352,350,658,100.751
353,0,17963,143.181
353,174,647,99.662
354,0,17765,142.793
354,23,1,0.013
354,93,2,0.014
354,156,632,101.688
355,0,17912,143.936
355,81,605,98.387
356,0,17757,143.627
356,60,603,100.068
356,69,1,0.007
356,534,1,0.006
357,0,17845,142.518
